day,act_1_day,cash
30.01.2018,2 946,"19 485,59 $"
31.01.2018,2 840,"12 503,06 $"
01.02.2018,2 893,"15 912,75 $"
02.02.2018,2 552,"14 749,75 $"
03.02.2018,1 970,"7 759,14 $"
04.02.2018,2 090,"9 875,12 $"
05.02.2018,2 913,"16 446,26 $"
06.02.2018,2 865,"13 876,53 $"
07.02.2018,2 876,"12 574,24 $"
08.02.2018,2 790,"15 010,37 $"
09.02.2018,2 778,"14 143,60 $"
10.02.2018,2 387,"6 062,84 $"
11.02.2018,2 607,"5 321,33 $"
12.02.2018,3 395,"16 986,34 $"
13.02.2018,3 293,"14 760,09 $"
14.02.2018,3 075,"9 580,47 $"
15.02.2018,2 923,"9 054,30 $"
16.02.2018,2 620,"12 926,89 $"
17.02.2018,2 267,"6 880,20 $"
18.02.2018,2 471,"7 345,83 $"
19.02.2018,2 755,"11 692,45 $"
20.02.2018,3 395,"15 768,10 $"
21.02.2018,3 244,"15 460,36 $"
22.02.2018,3 422,"16 879,51 $"
23.02.2018,2 901,"11 100,45 $"
24.02.2018,2 143,"6 263,80 $"
25.02.2018,2 326,"8 915,63 $"
26.02.2018,3 846,"11 881,57 $"
27.02.2018,3 302,"17 963,26 $"
28.02.2018,3 008,"13 725,32 $"
01.03.2018,2 961,"10 506,77 $"
02.03.2018,2 768,"13 356,74 $"
03.03.2018,2 242,"4 712,75 $"
04.03.2018,2 286,"11 779,07 $"
05.03.2018,3 092,"13 797,84 $"
06.03.2018,3 591,"11 279,71 $"
07.03.2018,3 011,"15 204,37 $"
08.03.2018,2 918,"11 976,52 $"
09.03.2018,2 735,"10 902,26 $"
10.03.2018,2 154,"6 692,64 $"
11.03.2018,2 119,"5 810,86 $"
12.03.2018,3 403,"15 340,56 $"
13.03.2018,3 278,"14 663,69 $"
14.03.2018,3 216,"25 190,69 $"
15.03.2018,3 624,"27 377,73 $"
16.03.2018,3 042,"20 720,33 $"
17.03.2018,2 174,"14 587,63 $"
18.03.2018,2 244,"11 519,41 $"
19.03.2018,3 520,"24 240,00 $"
20.03.2018,3 171,"17 271,62 $"
21.03.2018,4 349,"15 199,16 $"
22.03.2018,3 555,"19 977,12 $"
23.03.2018,2 968,"11 778,67 $"
24.03.2018,2 202,"14 389,87 $"
25.03.2018,2 157,"10 161,09 $"
26.03.2018,3 223,"33 500,93 $"
27.03.2018,4 231,"43 726,98 $"
28.03.2018,3 731,"37 112,64 $"
29.03.2018,3 473,"25 724,69 $"
30.03.2018,2 728,"22 663,56 $"
31.03.2018,1 868,"13 642,28 $"
01.04.2018,2 094,"19 152,08 $"
